"","x"
"902","KIAA1143"
"903","TMEM42"
"904","ZDHHC3"
"905","EXOSC7"
"906","CDCP1"
"907","CCDC12"
"908","KIF9"
"909","ELP6"
"910","SMARCC1"
"911","DHX30"
"912","MAP4"
"913","NME6"
"914","CCDC51"
"915","TMA7"
"916","SHISA5"
"917","UQCRC1"
"918","IP6K2"
"919","PRKAR2A"
"920","ARIH2"
"921","P4HTM"
"922","WDR6"
"923","DALRD3"
"924","NDUFAF3"
"925","IMPDH2"
"926","QARS"
"927","LAMB2"
"928","GPX1"
"929","RHOA"
"930","DAG1"
"931","APEH"
"932","GNAI2"
"933","IFRD2"
"934","HYAL2"
"935","TUSC2"
"936","RASSF1"
"937","NPRL2"
"938","CYB561D2"
"939","TMEM115"
"940","MAPKAPK3"
"941","MANF"
"942","TEX264"
"943","RRP9"
"944","PCBP4"
"945","ABHD14B"
"946","ABHD14A"
"947","RPL29"
"948","POC1A"
"949","ALAS1"
"950","TWF2"
"951","PHF7"
"952","NT5DC2"
"953","SMIM4"
"954","GNL3"
"955","GLT8D1"
"956","SPCS1"
"957","RFT1"
"958","TKT"
"959","SELK"
"960","APPL1"
"961","ARF4"
"962","SLMAP"
"963","FLNB"
"964","PDHB"
"965","C3orf14"
"966","THOC7"
"967","PSMD6"
"968","SLC25A26"
"969","SUCLG2"
"970","TMF1"
"971","UBA3"
"972","ARL6IP5"
"973","FOXP1"
"974","PPP4R2"
"975","CHMP2B"
"976","CGGBP1"
"977","DCBLD2"
"978","CMSS1"
"979","NIT2"
"980","TFG"
"981","TRMT10C"
"982","PCNP"
"983","RPL24"
"984","NFKBIZ"
"985","BBX"
"986","CD47"
"987","IFT57"
"988","KIAA1524"
"989","ZBED2"
"990","PHLDB2"
"991","ATG3"
"992","CCDC80"
"993","GTPBP8"
"994","NAA50"
"995","ATP6V1A"
"996","TIMMDC1"
"997","COX17"
"998","GSK3B"
"999","LRRC58"
"1000","NDUFB4"
"1001","GOLGB1"
"1002","CCDC58"
"1003","FAM162A"
"1004","UMPS"
"1005","ITGB5"
"1006","ZNF148"
"1007","SNX4"
"1008","CHCHD6"
"1009","TPRA1"
"1010","MCM2"
"1011","PODXL2"
"1012","SEC61A1"
"1013","RUVBL1"
"1014","RPN1"
"1015","RAB7A"
"1016","ISY1"
"1017","CNBP"
"1018","HMCES"
"1019","H1FX"
"1020","MBD4"
"1021","NUDT16"
"1022","MRPL3"
"1023","UBA5"
"1024","CDV3"
"1025","SRPRB"
"1026","AMOTL2"
"1027","ANAPC13"
"1028","CEP63"
"1029","PCCB"
"1030","NCK1"
"1031","FAIM"
"1032","MRPS22"
"1033","COPB2"
"1034","SLC25A36"
"1035","ZBTB38"
"1036","RNF7"
"1037","ATP1B3"
"1038","TFDP2"
"1039","U2SURP"
